Title,Schema and Value Categories
Identifier,5c36a810-4033-437d-af01-3ade820323bc
Modified,2018-11-20T22:04:58

Section,Schema,Description,Ordered
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab34,DOCTOR EVER TOLD HAVE ANY KIND OF HEART DISEASE,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ab52,EVER TOLD HAVE HEART FAILURE/CONGESTIVE HEART FAILURE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ab118,MEDICAL PROVIDERS DEVELOPED HEART DISEASE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ad37w,WALKED AT LEAST 10 MIN FOR TRANSPORT PAST 7 DAYS,true
Column.Value,0,YES,
Column.Value,1,NO,
Column.Value,2,UNABLE TO WALK,
Table.Column,ad38w,# TIMES WALKED AT LEAST 10 MIN FOR TRANSPORT PAST 7 DAYS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Column.Value,9,8.0,
Column.Value,10,9.0,
Column.Value,11,10.0,
Column.Value,12,11.0,
Column.Value,13,12.0,
Column.Value,14,13.0,
Column.Value,15,14.0,
Column.Value,16,15.0,
Column.Value,17,16.0,
Column.Value,18,17.0,
Column.Value,19,18.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,28.0,
Column.Value,27,30.0,
Column.Value,28,33.0,
Column.Value,29,35.0,
Column.Value,30,40.0,
Column.Value,31,42.0,
Column.Value,32,50.0,
Column.Value,33,55.0,
Column.Value,34,56.0,
Column.Value,35,60.0,
Column.Value,36,70.0,
Column.Value,37,72.0,
Column.Value,38,85.0,
Column.Value,39,97.0,
Column.Value,40,100.0,
Column.Value,41,200.0,
Column.Value,42,300.0,
Table.Column,ad40w,WALKED AT LEAST 10 MIN FOR LEISURE PAST 7 DAYS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ad41w,# TIMES WALKED AT LEAST 10 MIN FOR LEISURE PAST 7 DAYS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Column.Value,9,8.0,
Column.Value,10,9.0,
Column.Value,11,10.0,
Column.Value,12,11.0,
Column.Value,13,12.0,
Column.Value,14,13.0,
Column.Value,15,14.0,
Column.Value,16,15.0,
Column.Value,17,16.0,
Column.Value,18,17.0,
Column.Value,19,18.0,
Column.Value,20,19.0,
Column.Value,21,20.0,
Column.Value,22,21.0,
Column.Value,23,22.0,
Column.Value,24,23.0,
Column.Value,25,24.0,
Column.Value,26,25.0,
Column.Value,27,26.0,
Column.Value,28,28.0,
Column.Value,29,30.0,
Column.Value,30,32.0,
Column.Value,31,35.0,
Column.Value,32,36.0,
Column.Value,33,40.0,
Column.Value,34,42.0,
Column.Value,35,45.0,
Column.Value,36,50.0,
Column.Value,37,52.0,
Column.Value,38,60.0,
Column.Value,39,67.0,
Column.Value,40,70.0,
Column.Value,41,72.0,
Column.Value,42,90.0,
Column.Value,43,97.0,
Column.Value,44,100.0,
Table.Column,ac100,FREQUENCY OF EXERCISE IN PAST 7 DAYS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Table.Column,ac47,# OF TIMES DRANK WATER YESTERDAY,true
Column.Value,0,0.0,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,LESS THAN 1 GLASS (E.G. SIPS FROM FOUNTAIN),
Table.Column,ac42,HOW OFTEN FIND FRESH FRUIT/VEG IN NEIGHB,true
Column.Value,0,NEVER,
Column.Value,1,SOMETIMES,
Column.Value,2,USUALLY,
Column.Value,3,ALWAYS,
Column.Value,4,DOESN'T EAT FRUITS AND VEGETABLES,
Column.Value,5,DOESN'T SHOP FOR FRUITS AND VEGETABLES,
Column.Value,6,DOESN'T SHOP IN HIS/HER NEIGHBORHOOD,
Table.Column,ac44,NEIGHBORHOOD FRUIT/VEG AFFORDABLE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,NEVER,
Column.Value,2,SOMETIMES,
Column.Value,3,USUALLY,
Column.Value,4,ALWAYS,
Table.Column,ae15,SMOKED 100 OR MORE CIGARETTES IN ENTIRE LIFETIME,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ae15a,"SMOKES CIGARETTES EVERYDAY, SOME DAYS OR NOT AT ALL",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,EVERY DAY,
Column.Value,2,SOME DAYS,
Column.Value,3,NOT AT ALL,
Table.Column,ac49,STOP SMOKING ONE DAY OR LONGER TO QUIT PAST YR,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac50,THINK ABOUT QUIT SMOKING IN NEXT 6 MOS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac104b,"USE NICOTINE GUM, LOZENGES, OR INHALER TO HELP QUIT SMOKING IN PAST 12 MOS",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac75c,CALL QUITTING HELPLINE TO HELP QUIT SMOKING IN PAST 12 MOS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac77,HEALTH PRO ADVISE QUIT SMOKE PAST 12 MOS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac78,HEALTH PRO REFER SMOKE CESS PGM PAST 12,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac81c,EVER SMOKED ELECTRONIC CIGARETTES,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ac115,EVER TRIED MARIJUANA OR HASHISH,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ad50,BLIND/DEAF OR HAS SEVERE VISION/HEARING PROBLEM,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ad13,CURRENTLY PREGNANT,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,YES,
Column.Value,3,NO,
Table.Column,ae96,EVER DELIVERED BABY IN PAST 12 MOS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj29,FEEL NERVOUS PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,aj30,FEEL HOPELESS PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,aj31,FELL RESTLESS PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,aj32,FEEL DEPRESSED PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,aj33,FEEL EVERYTHING AN EFFORT PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,aj34,FEEL WORTHLESS PAST 30 DAYS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,ALL OF THE TIME,
Column.Value,2,MOST OF THE TIME,
Column.Value,3,SOME OF THE TIME,
Column.Value,4,A LITTLE OF THE TIME,
Column.Value,5,NOT AT ALL,
Table.Column,af62,ANY MONTH PAST 12 MONTHS FELT WORSE,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,af63,FEEL NERVOUS WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af64,FEEL HOPELESS WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af65,FEEL RESTLESS WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af66,FEEL DEPRESSED WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af67,FEEL EVERYTHING AN EFFORT WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af68,FEEL WORTHLESS WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,ALL OF THE TIME,
Column.Value,3,MOST OF THE TIME,
Column.Value,4,SOME OF THE TIME,
Column.Value,5,A LITTLE OF THE TIME,
Column.Value,6,NOT AT ALL,
Table.Column,af69b,EMOTIONS INTERFERE W/WORK WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,A LOT,
Column.Value,3,SOME,
Column.Value,4,NOT AT ALL,
Column.Value,5,DOES NOT WORK,
Table.Column,af70b,EMOTIONS INTERFERE W/CHORES WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,A LOT,
Column.Value,3,SOME,
Column.Value,4,NOT AT ALL,
Table.Column,af71b,EMOTIONS INTERFERE W/SOCIAL LIFE WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,A LOT,
Column.Value,3,SOME,
Column.Value,4,NOT AT ALL,
Table.Column,af72b,EMOTIONS INTERFERE W/RELATIONSHIPS WORST MONTH,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,A LOT,
Column.Value,3,SOME,
Column.Value,4,NOT AT ALL,
Table.Column,aj1,INS COVERS TREATMENT FOR MNTL HEALTH PROBLEMS,true
Column.Value,0,PROXY SKIPPED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,YES,
Column.Value,3,NO,
Column.Value,4,NO INSURANCE,
Table.Column,ah37,LEVEL OF ENGLISH PROFICIENCY: GENERAL,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,VERY WELL,
Column.Value,2,WELL,
Column.Value,3,NOT WELL,
Column.Value,4,NOT AT ALL,
Table.Column,ah44,SPOUSE LIVING IN SAME HOUSEHOLD,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ah43a,LIVING WITH A PARENT,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ah44a,USED PAID CHILDCARE FOR CHILDREN UNDER 14 IN PAST MONTH,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ag22,EVER SERVE IN U.S. ARMED FORCES,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ak1,WORK STATUS LAST WEEK,true
Column.Value,0,WORKING AT A JOB/BUSINESS,
Column.Value,1,WITH A JOB/BUSINESS BUT NOT AT WORK,
Column.Value,2,LOOKING FOR WORK,
Column.Value,3,NOT WORKING JOB/BUSINESS (UNEMP),
Table.Column,ag10,RESPONDENT USUALLY WORKS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Column.Value,3,LOOKING FOR WORK,
Table.Column,al22,RECEIVING SOCIAL SECURITY DISABILITY INS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ak8,# PEOPLE WORKING FOR EMPLOYER/YOU,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,1 OR 2,
Column.Value,2,3 - 9,
Column.Value,3,10 - 24,
Column.Value,4,25 - 50,
Column.Value,5,51 - 100,
Column.Value,6,101 - 200,
Column.Value,7,201 - 999,
Column.Value,8,"1,000 OR MORE",
Table.Column,ag8,WORK STATUS OF SPOUSE LAST WEEK,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,WORKING AT A JOB OR BUSINESS,
Column.Value,2,"WITH A JOB/BUSINESS, BUT NOT AT WORK",
Column.Value,3,LOOKING FOR WORK,
Column.Value,4,NOT WORKING AT A JOB OR BUSINESS,
Table.Column,ag11,SPOUSE USUALLY WORKS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Column.Value,3,LOOKING FOR WORK,
Table.Column,ah1,HAVE USUAL SOURCE OF HEALTH CARE,true
Column.Value,0,YES,
Column.Value,1,NO,
Column.Value,2,DOCTOR / MY DOCTOR,
Column.Value,3,KAISER,
Column.Value,4,MORE THAN ONE PLACE,
Table.Column,ai4,COVERED BY MEDICARE SUPPL POLICY,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ah104,PURCHASE INS DIRECT OR THRU COVERED CA,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,INSURANCE COMPANY OR HMO,
Column.Value,2,COVERED CALIFORNIA,
Column.Value,3,OTHER,
Table.Column,ah105,"GET INS THRU EMPLOYER,UNION,SHOP PROGRAM",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,EMPLOYER,
Column.Value,2,UNION,
Column.Value,3,SHOP/COVERED CALIFORNIA,
Column.Value,4,OTHER,
Table.Column,ah128,AMOUNT RESPONDENT OR FAMILY PAYS EACH MONTH FOR HEALTH INSURANCE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Column.Value,9,8.0,
Column.Value,10,9.0,
Column.Value,11,10.0,
Column.Value,12,11.0,
Column.Value,13,12.0,
Column.Value,14,13.0,
Column.Value,15,14.0,
Column.Value,16,15.0,
Column.Value,17,16.0,
Column.Value,18,17.0,
Column.Value,19,18.0,
Column.Value,20,19.0,
Column.Value,21,20.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,29.0,
Column.Value,30,30.0,
Column.Value,31,31.0,
Column.Value,32,32.0,
Column.Value,33,33.0,
Column.Value,34,34.0,
Column.Value,35,35.0,
Column.Value,36,36.0,
Column.Value,37,37.0,
Column.Value,38,38.0,
Column.Value,39,39.0,
Column.Value,40,40.0,
Column.Value,41,41.0,
Column.Value,42,42.0,
Column.Value,43,43.0,
Column.Value,44,44.0,
Column.Value,45,45.0,
Column.Value,46,46.0,
Column.Value,47,47.0,
Column.Value,48,48.0,
Column.Value,49,49.0,
Column.Value,50,50.0,
Column.Value,51,51.0,
Column.Value,52,52.0,
Column.Value,53,53.0,
Column.Value,54,54.0,
Column.Value,55,55.0,
Column.Value,56,56.0,
Column.Value,57,57.0,
Column.Value,58,58.0,
Column.Value,59,59.0,
Column.Value,60,60.0,
Column.Value,61,61.0,
Column.Value,62,62.0,
Column.Value,63,64.0,
Column.Value,64,65.0,
Column.Value,65,66.0,
Column.Value,66,67.0,
Column.Value,67,68.0,
Column.Value,68,69.0,
Column.Value,69,70.0,
Column.Value,70,71.0,
Column.Value,71,72.0,
Column.Value,72,73.0,
Column.Value,73,74.0,
Column.Value,74,75.0,
Column.Value,75,76.0,
Column.Value,76,77.0,
Column.Value,77,78.0,
Column.Value,78,79.0,
Column.Value,79,80.0,
Column.Value,80,82.0,
Column.Value,81,83.0,
Column.Value,82,84.0,
Column.Value,83,85.0,
Column.Value,84,86.0,
Column.Value,85,87.0,
Column.Value,86,88.0,
Column.Value,87,89.0,
Column.Value,88,90.0,
Column.Value,89,91.0,
Column.Value,90,93.0,
Column.Value,91,94.0,
Column.Value,92,95.0,
Column.Value,93,96.0,
Column.Value,94,97.0,
Column.Value,95,98.0,
Column.Value,96,99.0,
Column.Value,97,100.0,
Column.Value,98,103.0,
Column.Value,99,104.0,
Column.Value,100,105.0,
Column.Value,101,106.0,
Column.Value,102,107.0,
Column.Value,103,108.0,
Column.Value,104,109.0,
Column.Value,105,110.0,
Column.Value,106,111.0,
Column.Value,107,112.0,
Column.Value,108,114.0,
Column.Value,109,115.0,
Column.Value,110,116.0,
Column.Value,111,117.0,
Column.Value,112,118.0,
Column.Value,113,119.0,
Column.Value,114,120.0,
Column.Value,115,123.0,
Column.Value,116,124.0,
Column.Value,117,125.0,
Column.Value,118,126.0,
Column.Value,119,127.0,
Column.Value,120,128.0,
Column.Value,121,130.0,
Column.Value,122,131.0,
Column.Value,123,132.0,
Column.Value,124,133.0,
Column.Value,125,134.0,
Column.Value,126,135.0,
Column.Value,127,136.0,
Column.Value,128,137.0,
Column.Value,129,138.0,
Column.Value,130,139.0,
Column.Value,131,140.0,
Column.Value,132,141.0,
Column.Value,133,142.0,
Column.Value,134,143.0,
Column.Value,135,144.0,
Column.Value,136,145.0,
Column.Value,137,146.0,
Column.Value,138,147.0,
Column.Value,139,148.0,
Column.Value,140,149.0,
Column.Value,141,150.0,
Column.Value,142,152.0,
Column.Value,143,154.0,
Column.Value,144,155.0,
Column.Value,145,156.0,
Column.Value,146,157.0,
Column.Value,147,160.0,
Column.Value,148,164.0,
Column.Value,149,165.0,
Column.Value,150,166.0,
Column.Value,151,167.0,
Column.Value,152,168.0,
Column.Value,153,169.0,
Column.Value,154,170.0,
Column.Value,155,173.0,
Column.Value,156,174.0,
Column.Value,157,175.0,
Column.Value,158,176.0,
Column.Value,159,177.0,
Column.Value,160,178.0,
Column.Value,161,179.0,
Column.Value,162,180.0,
Column.Value,163,182.0,
Column.Value,164,183.0,
Column.Value,165,185.0,
Column.Value,166,187.0,
Column.Value,167,189.0,
Column.Value,168,190.0,
Column.Value,169,192.0,
Column.Value,170,193.0,
Column.Value,171,194.0,
Column.Value,172,195.0,
Column.Value,173,196.0,
Column.Value,174,197.0,
Column.Value,175,199.0,
Column.Value,176,200.0,
Column.Value,177,203.0,
Column.Value,178,204.0,
Column.Value,179,205.0,
Column.Value,180,208.0,
Column.Value,181,209.0,
Column.Value,182,210.0,
Column.Value,183,212.0,
Column.Value,184,213.0,
Column.Value,185,214.0,
Column.Value,186,215.0,
Column.Value,187,216.0,
Column.Value,188,217.0,
Column.Value,189,218.0,
Column.Value,190,219.0,
Column.Value,191,220.0,
Column.Value,192,221.0,
Column.Value,193,223.0,
Column.Value,194,224.0,
Column.Value,195,225.0,
Column.Value,196,227.0,
Column.Value,197,228.0,
Column.Value,198,229.0,
Column.Value,199,230.0,
Column.Value,200,232.0,
Column.Value,201,233.0,
Column.Value,202,234.0,
Column.Value,203,235.0,
Column.Value,204,237.0,
Column.Value,205,238.0,
Column.Value,206,239.0,
Column.Value,207,240.0,
Column.Value,208,243.0,
Column.Value,209,244.0,
Column.Value,210,245.0,
Column.Value,211,248.0,
Column.Value,212,250.0,
Column.Value,213,252.0,
Column.Value,214,254.0,
Column.Value,215,255.0,
Column.Value,216,256.0,
Column.Value,217,257.0,
Column.Value,218,258.0,
Column.Value,219,259.0,
Column.Value,220,260.0,
Column.Value,221,263.0,
Column.Value,222,264.0,
Column.Value,223,265.0,
Column.Value,224,266.0,
Column.Value,225,267.0,
Column.Value,226,268.0,
Column.Value,227,269.0,
Column.Value,228,270.0,
Column.Value,229,271.0,
Column.Value,230,273.0,
Column.Value,231,275.0,
Column.Value,232,277.0,
Column.Value,233,278.0,
Column.Value,234,280.0,
Column.Value,235,282.0,
Column.Value,236,283.0,
Column.Value,237,284.0,
Column.Value,238,285.0,
Column.Value,239,286.0,
Column.Value,240,287.0,
Column.Value,241,288.0,
Column.Value,242,289.0,
Column.Value,243,290.0,
Column.Value,244,292.0,
Column.Value,245,293.0,
Column.Value,246,295.0,
Column.Value,247,296.0,
Column.Value,248,299.0,
Column.Value,249,300.0,
Column.Value,250,305.0,
Column.Value,251,308.0,
Column.Value,252,310.0,
Column.Value,253,311.0,
Column.Value,254,312.0,
Column.Value,255,314.0,
Column.Value,256,315.0,
Column.Value,257,317.0,
Column.Value,258,320.0,
Column.Value,259,321.0,
Column.Value,260,322.0,
Column.Value,261,325.0,
Column.Value,262,327.0,
Column.Value,263,328.0,
Column.Value,264,329.0,
Column.Value,265,330.0,
Column.Value,266,332.0,
Column.Value,267,333.0,
Column.Value,268,335.0,
Column.Value,269,336.0,
Column.Value,270,338.0,
Column.Value,271,340.0,
Column.Value,272,346.0,
Column.Value,273,347.0,
Column.Value,274,348.0,
Column.Value,275,350.0,
Column.Value,276,352.0,
Column.Value,277,354.0,
Column.Value,278,355.0,
Column.Value,279,357.0,
Column.Value,280,358.0,
Column.Value,281,360.0,
Column.Value,282,365.0,
Column.Value,283,366.0,
Column.Value,284,369.0,
Column.Value,285,370.0,
Column.Value,286,371.0,
Column.Value,287,372.0,
Column.Value,288,373.0,
Column.Value,289,375.0,
Column.Value,290,376.0,
Column.Value,291,378.0,
Column.Value,292,379.0,
Column.Value,293,380.0,
Column.Value,294,382.0,
Column.Value,295,383.0,
Column.Value,296,385.0,
Column.Value,297,386.0,
Column.Value,298,387.0,
Column.Value,299,388.0,
Column.Value,300,390.0,
Column.Value,301,392.0,
Column.Value,302,395.0,
Column.Value,303,396.0,
Column.Value,304,397.0,
Column.Value,305,399.0,
Column.Value,306,400.0,
Column.Value,307,402.0,
Column.Value,308,403.0,
Column.Value,309,405.0,
Column.Value,310,410.0,
Column.Value,311,411.0,
Column.Value,312,412.0,
Column.Value,313,413.0,
Column.Value,314,414.0,
Column.Value,315,415.0,
Column.Value,316,418.0,
Column.Value,317,420.0,
Column.Value,318,424.0,
Column.Value,319,425.0,
Column.Value,320,430.0,
Column.Value,321,432.0,
Column.Value,322,438.0,
Column.Value,323,440.0,
Column.Value,324,448.0,
Column.Value,325,450.0,
Column.Value,326,455.0,
Column.Value,327,456.0,
Column.Value,328,459.0,
